Car Dealership,Car Brand,Build,Year of Production,Clean/Salvage Title,Mileage,Ask Price,Location
Metro Hyundai,Mercedes-Benz,GLC,2021,Clean,12000,54200,San Diego
West Coast Motors,Nissan,Rogue,2020,Clean,24000,29200,Los Angeles
West Coast Motors,Nissan,Rogue,2020,Salvage,28000,19200,Los Angeles
West Coast Motors,Nissan,Rogue,2021,Clean,14000,32500,Los Angeles
West Coast Motors,Nissan,Rogue,2021,Salvage,18000,22500,Los Angeles
West Coast Motors,Honda,Civic,2019,Clean,34000,23200,Los Angeles
West Coast Motors,Honda,Civic,2019,Salvage,38000,15200,Los Angeles
West Coast Motors,Honda,Civic,2020,Clean,24000,25500,Los Angeles
West Coast Motors,KIA,Forte,2019,Clean,38000,20200,Los Angeles
West Coast Motors,KIA,Forte,2019,Salvage,42000,13200,Los Angeles
West Coast Motors,KIA,Forte,2020,Clean,28000,22500,Los Angeles
West Coast Motors,BMW,3 Series,2019,Clean,34000,39800,Los Angeles
West Coast Motors,BMW,3 Series,2019,Salvage,38000,26800,Los Angeles
West Coast Motors,Hyundai,Elantra,2019,Clean,36000,19200,Los Angeles
West Coast Motors,Hyundai,Elantra,2019,Salvage,40000,12200,Los Angeles
Golden State Honda,Honda,Civic,2021,Clean,14000,28200,Los Angeles
Golden State Honda,Honda,Accord,2020,Clean,26000,30200,Los Angeles
Golden State Honda,Honda,Accord,2020,Salvage,30000,20200,Los Angeles
Golden State Honda,Honda,CR-V,2019,Clean,36000,27200,Los Angeles
Golden State Honda,Honda,CR-V,2020,Clean,24000,29500,Los Angeles
Golden State Honda,Honda,CR-V,2020,Salvage,28000,19500,Los Angeles
Golden State Honda,Nissan,Altima,2019,Clean,36000,25200,Los Angeles
Golden State Honda,Nissan,Altima,2020,Clean,26000,27500,Los Angeles
Golden State Honda,Nissan,Altima,2020,Salvage,30000,17500,Los Angeles
Golden State Honda,KIA,Optima,2020,Clean,26000,26200,Los Angeles
Golden State Honda,KIA,Optima,2020,Salvage,30000,17200,Los Angeles
Golden State Honda,Hyundai,Sonata,2020,Clean,24000,25200,Los Angeles
Golden State Honda,Hyundai,Sonata,2020,Salvage,28000,16200,Los Angeles
Golden State Honda,BMW,5 Series,2020,Clean,22000,56200,Los Angeles
Golden State Honda,BMW,5 Series,2020,Salvage,26000,37200,Los Angeles
Premium Benz,Mercedes-Benz,C-Class,2019,Clean,36000,43800,Los Angeles
Premium Benz,Mercedes-Benz,C-Class,2020,Clean,26000,48200,Los Angeles
Premium Benz,Mercedes-Benz,C-Class,2021,Clean,16000,52500,Los Angeles
Premium Benz,Mercedes-Benz,E-Class,2020,Clean,24000,59800,Los Angeles
Premium Benz,Mercedes-Benz,E-Class,2020,Salvage,28000,39800,Los Angeles
Premium Benz,Mercedes-Benz,E-Class,2021,Clean,14000,65200,Los Angeles
Premium Benz,Mercedes-Benz,GLC,2019,Clean,34000,46800,Los Angeles
Premium Benz,Mercedes-Benz,GLC,2020,Clean,22000,51200,Los Angeles
Premium Benz,Mercedes-Benz,GLC,2020,Salvage,26000,34200,Los Angeles
Premium Benz,BMW,3 Series,2020,Clean,24000,44200,Los Angeles
Premium Benz,BMW,3 Series,2021,Clean,14000,48500,Los Angeles
Premium Benz,BMW,5 Series,2021,Clean,12000,61500,Los Angeles
Premium Benz,BMW,5 Series,2022,Clean,6000,65800,Los Angeles
Premium Benz,Nissan,Kicks,2020,Clean,22000,22200,Los Angeles
Premium Benz,Nissan,Kicks,2021,Clean,12000,24500,Los Angeles
Premium Benz,Nissan,Kicks,2021,Salvage,16000,16500,Los Angeles
Pacific KIA,KIA,Forte,2021,Clean,18000,25200,San Francisco
Pacific KIA,KIA,Optima,2021,Clean,16000,29500,San Francisco
Pacific KIA,KIA,Optima,2022,Clean,8000,32800,San Francisco
Pacific KIA,KIA,Sorento,2019,Clean,36000,29200,San Francisco
Pacific KIA,KIA,Sorento,2020,Clean,26000,32500,San Francisco
Pacific KIA,KIA,Sorento,2020,Salvage,30000,21500,San Francisco
Pacific KIA,Nissan,Altima,2021,Clean,16000,30200,San Francisco
Pacific KIA,Honda,Civic,2021,Clean,14000,28200,San Francisco
Pacific KIA,Honda,Accord,2021,Clean,16000,33500,San Francisco
Pacific KIA,Honda,Accord,2022,Clean,8000,36800,San Francisco
Pacific KIA,BMW,X3,2019,Clean,32000,42800,San Francisco
Pacific KIA,BMW,X3,2020,Clean,22000,47200,San Francisco
Pacific KIA,BMW,X3,2020,Salvage,26000,31200,San Francisco
Pacific KIA,Hyundai,Elantra,2020,Clean,26000,21500,San Francisco
Pacific KIA,Hyundai,Elantra,2021,Clean,16000,24500,San Francisco
Bay Area BMW,BMW,3 Series,2021,Clean,14000,48500,San Francisco
Bay Area BMW,BMW,5 Series,2021,Clean,12000,61500,San Francisco
Bay Area BMW,BMW,5 Series,2022,Clean,6000,65800,San Francisco
Bay Area BMW,BMW,X3,2021,Clean,12000,51500,San Francisco
Bay Area BMW,Mercedes-Benz,C-Class,2019,Clean,36000,43800,San Francisco
Bay Area BMW,Mercedes-Benz,C-Class,2020,Clean,26000,48200,San Francisco
Bay Area BMW,Mercedes-Benz,E-Class,2020,Clean,24000,59800,San Francisco
Bay Area BMW,Mercedes-Benz,E-Class,2021,Clean,14000,65200,San Francisco
Bay Area BMW,Mercedes-Benz,GLC,2019,Clean,34000,46800,San Francisco
Bay Area BMW,Mercedes-Benz,GLC,2020,Clean,22000,51200,San Francisco
Bay Area BMW,Nissan,Kicks,2022,Clean,6000,26800,San Francisco
Bay Area BMW,Honda,CR-V,2021,Clean,14000,32800,San Francisco
Bay Area BMW,KIA,Sorento,2021,Clean,16000,36800,San Francisco
Bay Area BMW,Hyundai,Tucson,2019,Clean,34000,26200,San Francisco
SF Hyundai,Hyundai,Sonata,2021,Clean,14000,28500,San Francisco
SF Hyundai,Hyundai,Sonata,2022,Clean,6000,31800,San Francisco
SF Hyundai,Hyundai,Tucson,2020,Clean,24000,29500,San Francisco
SF Hyundai,Hyundai,Tucson,2020,Salvage,28000,19500,San Francisco
SF Hyundai,Hyundai,Tucson,2021,Clean,14000,33500,San Francisco
SF Hyundai,Nissan,Rogue,2020,Clean,24000,29200,San Francisco
SF Hyundai,Nissan,Rogue,2020,Salvage,28000,19200,San Francisco
SF Hyundai,Nissan,Rogue,2021,Clean,14000,32500,San Francisco
SF Hyundai,Honda,Civic,2020,Clean,24000,25500,San Francisco
SF Hyundai,Honda,Civic,2021,Clean,14000,28200,San Francisco
SF Hyundai,KIA,Forte,2020,Clean,28000,22500,San Francisco
SF Hyundai,KIA,Optima,2020,Clean,26000,26200,San Francisco
SF Hyundai,KIA,Optima,2020,Salvage,30000,17200,San Francisco
SF Hyundai,BMW,3 Series,2020,Clean,24000,44200,San Francisco
SF Hyundai,Mercedes-Benz,C-Class,2021,Clean,16000,52500,San Francisco
